アイビー,永遠の愛、友情、不滅
ノウゼンカズラ,華、栄光、名誉
ノギク,障害
ハイビスカス,私はあなたを信じます、新しい恋、微妙な美しさ
ハイビスカス(赤),常に新しい美、繊細な美、勇敢
ハイビスカス(白),艶美、繊細な美
ハス,遠ざかった恋、遠くに去った恋、雄弁
ハナショウブ,忍耐、伝言、優しい心
ハナミズキ,公平にする、返礼、私の想いを受けてください
バラ,愛らしい、私は愛します、恋
バラ(ピンク),愛、わが心、君のみが知る
バラ(黄),君のすべてが可憐、嫉妬、薄れ行く愛
バラ(白),私はあなたにふさわしい、愛の吐息、純潔
バラ(赤),愛情、情熱、熱烈な恋
パンジー,純愛、物思い、思索
ビオラ,誠実
ヒナギク,無邪気、乙女の無邪気、平和
ヒナゲシ,七色の恋、心の平静、慰め
ヒナゲシ(赤),慰め
ヒナゲシ(白),忘れっぽい
ヒマワリ,あこがれ、あなたは素敵、熱愛
ヒヤシンス,遊戯、運動、競技
ヒヤシンス(赤),嫉妬、遊び心
ヒヤシンス(白),しとやかな愛らしさ、控え目の愛らしさ、心静かな愛
ヒヤシンス(紫),嫉妬、悲哀、私は悲しい
ヒヤシンス(青),誠実、不変な愛
ヒヤシンス(黄),勝負
ブーゲンビレア,情熱、熱心、あなたしか見えない
ブーゲンビレア(ピンク),情熱、魅力いっぱい
ブーゲンビレア(白),熱心
フウセンカズラ,あなたと共に飛行しよう、多忙、飛翔
フクジュソウ,幸福を招く、永久の幸福、回想
フジ,恋に酔う、至福のとき、あなたを歓迎します
フジ(紫),君の愛に酔う
フジ(白),可憐
フヨウ,しとやかな恋人、繊細な美、微妙な美しさ
フリージア,あどけなさ、無邪気、清い香り
フリージア(黄),純潔、無邪気
フリージア(赤),愛想の良さ、純潔
フリージア(白),あどけなさ、無邪気、純潔
ブルーデージー,協力
ベゴニア,幸福、愛の告白、片思い
ベゴニア(赤),片思い、公平、丁寧
ベゴニア(白),親切
ペチュニア,あなたと一緒にいると心から和らぐ、あなたといると心が静まります
ペチュニア(赤),自然な心
ペチュニア(白),和らぐ心
ベニバナ,愛する、几帳面、包容力
ポインセチア,私の心は燃えている、聖なる願い、祝福する
ポインセチア(赤),私の心は燃えている
ポインセチア(白),祝福、慕われる人
ホウセンカ,私に触れないで下さい、心を開く、せっかち
ホウセンカ(赤),私に触れないで
ホウセンカ(黄),せっかち、短気
ボタン,高貴、富貴、壮麗
ボタン(赤),ただ私を信じなさい、富貴
ボタン(白),みずから注意しなさい
ポプラ,敏感、哀歌、悲嘆
マーガレット,心に秘めた愛、真実の愛、愛の誠実
マツバギク,心広い愛情、怠惰、無為
マユミ,あなたの魅力を心に刻む、艶めき
マリーゴールド,生きる、友情、予言
マンサク,呪文、霊感、魔力
ミズキ,成熟した精神、耐久力
ミヤコワスレ,また会う日まで、別れ、憂いを忘れる
ミント,徳のある人、再び交際を願います、効能
ムスカリ,寛大な愛、失望、失意
ムラサキシキブ,愛され上手、聡明な女性、聡明
モクレン,高潔な心、崇高、慈悲
モクレン(紫),自然な愛、自然への愛
モモ,気立ての良さ、私はあなたに夢中、愛の幸福
ヤナギ,愛の悲しみ、わが胸の悲しみ、悲哀
ユーカリ,思い出、記憶
ユウガオ,はかない恋、罪、夜
ユキノシタ,情愛、深い愛情、切実な愛情
ユリ,威厳、純潔、無垢
ユリ(黄),陽気、飾らない美
ユリ(白),純潔、貞節、威厳
ヨモギ,幸福、平和、平穏
ライラック,愛の芽生え、愛の最初の感情、初恋の感情
ライラック(赤),愛の芽生え
ライラック(白),少年らしい無邪気、青春の喜び、美しい契り
ライラック(紫),恋愛最初の感情、初恋の感激
ラベンダー,あなたを待っています、期待、承認
ラン,美人、佳人、優雅な女性
リンドウ,勝利、的確、正義感
ルピナス,あなたは私の安らぎ、いつも幸せ、空想
レンゲ,あなたは幸福です、あなたは私の苦痛をやわらげる、心が和らぐ
ローズマリー,追憶、思い出
ロベリア,譲る心、貞淑、謙遜
ワスレナグサ,私を忘れないで、真実の恋、真実の愛
